selling_price,km_driven,fuel,seller_type,transmission,owner,age
11.002116507732017,0.3210978032009321,0,0,0,1,0.4642857142857143
11.813037464800539,0.22935426309294996,0,0,0,1,0.4642857142857143
13.304686600863562,0.4587131133629053,1,0,0,1,0.2857142857142857
12.429220196836383,0.21100555507135355,0,0,0,1,0.10714285714285714
13.017005083966255,0.6467873705842687,1,0,0,2,0.21428571428571427
11.849404844423074,0.573392538497883,0,0,0,1,0.4642857142857143
13.217675375388819,0.11467483795797229,0,0,0,1,0.14285714285714285
12.388398368982115,0.27522603314694105,0,0,0,2,0.21428571428571427
13.652992804936396,0.11467483795797229,0,0,0,1,0.17857142857142858
12.807655372286902,0.357795219244125,2,0,0,1,0.10714285714285714
12.468440756144114,0.16054660801196335,0,0,0,1,0.17857142857142858
12.429220196836383,0.4587131133629053,0,0,0,1,0.21428571428571427
14.316286451937186,0.11467483795797229,0,1,1,1,0.07142857142857142
11.002116507732017,0.3210978032009321,0,0,0,1,0.4642857142857143
11.813037464800539,0.22935426309294996,0,0,0,1,0.4642857142857143
13.304686600863562,0.4587131133629053,1,0,0,1,0.2857142857142857
12.429220196836383,0.21100555507135355,0,0,0,1,0.10714285714285714
13.017005083966255,0.6467873705842687,1,0,0,2,0.21428571428571427
11.849404844423074,0.573392538497883,0,0,0,1,0.4642857142857143
13.217675375388819,0.11467483795797229,0,0,0,1,0.14285714285714285
12.388398368982115,0.27522603314694105,0,0,0,2,0.21428571428571427
13.652992804936396,0.11467483795797229,0,0,0,1,0.17857142857142858
12.807655372286902,0.357795219244125,2,0,0,1,0.10714285714285714
12.468440756144114,0.16054660801196335,0,0,0,1,0.17857142857142858
12.429220196836383,0.4587131133629053,0,0,0,1,0.21428571428571427
14.316286451937186,0.11467483795797229,0,1,1,1,0.07142857142857142
13.279368835614243,0.11008766095257318,0,1,0,1,0.17857142857142858
13.993657580167481,0.022931297849990137,1,1,0,1,0.03571428571428571
12.873904582205107,0.15137225400116514,1,0,0,2,0.25
