Screen Size,RAM,Operating System Version,Weight,Price,Category_2 in 1 Convertible,Category_Gaming,Category_Netbook,Category_Notebook,Category_Ultrabook,Category_Workstation,x_res,y_res,isApple,isTouchScreen,cpuSpeed,cpu_tier,ssd_gb,hdd_gb,gpu_power,has_dgpu,isMac
15.6,4,10.0,2.2,15.003704223895946,0,0,0,1,0,0,1366,768,0,0,2.0,2,128.0,0.0,0.0,0,0
17.3,8,10.0,3.2,16.262257378329462,0,1,0,0,0,0,1920,1080,0,0,3.0,0,256.0,1024.0,5.0,1,0
15.6,4,10.0,2.3,15.552811905456348,0,0,0,1,0,0,1920,1080,0,0,5.0,3,256.0,0.0,0.0,0,0
17.3,4,10.0,2.8,15.237093150541549,0,0,0,1,0,0,1366,768,0,0,1.0,1,0.0,1024.0,2.0,1,0
10.1,4,10.0,0.69,14.858098730410058,1,0,0,0,0,0,1920,1200,0,1,44.0,0,0.0,0.0,0.0,0,0
15.6,8,10.0,2.2,15.827499068779543,0,0,0,1,0,0,1920,1080,0,0,8.0,4,256.0,0.0,2.0,1,0
15.6,4,10.0,1.86,15.080589961113535,0,0,0,1,0,0,1920,1080,0,0,5.0,0,256.0,0.0,0.0,0,0
13.3,8,10.0,1.49,16.09869639629646,0,0,0,1,0,0,1920,1080,0,0,8.0,4,512.0,0.0,0.0,0,0
15.6,4,10.0,2.4,15.043550120538018,0,0,0,1,0,0,1366,768,0,0,4.0,2,0.0,1024.0,0.0,0,0
15.6,8,10.0,2.13,15.73643670412204,0,0,0,1,0,0,1920,1080,0,0,8.0,4,256.0,0.0,0.0,0,0
15.6,4,10.0,1.91,15.177406944333802,0,0,0,1,0,0,1920,1080,0,0,2.0,2,128.0,0.0,0.0,0,0
15.6,4,10.0,2.0,15.46655143604128,0,0,0,1,0,0,1366,768,0,0,5.0,3,256.0,0.0,0.0,0,0
17.3,16,10.0,2.43,16.8963423779573,0,1,0,0,0,0,1920,1080,0,0,8.0,4,256.0,2048.0,4.0,1,0
15.6,4,10.0,2.0,15.12118606630424,0,0,0,1,0,0,1920,1080,0,0,2.0,2,256.0,0.0,0.0,0,0
17.3,16,10.0,2.8,16.262257378329462,0,0,0,1,0,0,1920,1080,0,0,8.0,4,256.0,2048.0,0.0,0,0
14.0,8,10.0,1.7,15.871692300710825,0,0,0,0,1,0,1920,1080,0,0,6.0,3,256.0,0.0,0.0,0,0
14.0,8,10.0,1.7,15.488169060946827,0,0,0,1,0,0,1920,1080,0,0,7.0,2,256.0,0.0,0.0,0,0
14.0,8,10.0,1.4,15.939850534181296,0,0,0,1,0,0,1920,1080,0,0,6.0,3,256.0,0.0,0.0,0,0
15.6,8,10.0,1.86,15.629599035661812,0,0,0,1,0,0,1920,1080,0,0,5.0,3,256.0,0.0,0.0,0,0
15.6,16,10.0,1.8,16.685273460316257,0,0,0,0,1,0,1920,1080,0,0,8.0,4,512.0,0.0,4.0,1,0
15.6,4,10.0,1.86,15.176700544731553,0,0,0,1,0,0,1366,768,0,0,2.0,2,0.0,500.0,0.0,0,0
14.0,4,10.0,1.44,14.5266297697327,0,0,0,1,0,0,1366,768,0,0,6.0,1,32.0,0.0,0.0,0,0
15.6,4,10.0,1.9,15.401005921439934,0,0,0,1,0,0,1920,1080,0,0,5.0,3,0.0,1024.0,0.0,0,0
17.3,12,10.0,3.0,15.94831619219837,0,1,0,0,0,0,1920,1080,0,0,8.0,4,0.0,1024.0,4.0,1,0
13.5,4,10.0,1.252,16.08592250128668,0,0,0,0,1,0,2256,1504,0,1,5.0,3,128.0,0.0,0.0,0,0
13.3,8,10.0,1.4,15.954618733324642,0,0,0,0,1,0,1920,1080,0,0,8.0,4,256.0,0.0,0.0,0,0
15.6,8,10.0,2.2,15.86140061599781,0,0,0,1,0,0,1920,1080,0,0,8.0,4,256.0,0.0,0.0,0,0
17.3,8,10.0,2.7,16.091417020038463,0,1,0,0,0,0,1920,1080,0,0,5.0,3,128.0,1024.0,4.0,1,0
14.0,8,10.0,2.1,15.056486907804391,0,0,0,1,0,0,1366,768,0,0,2.0,2,0.0,1024.0,0.0,0,0
15.6,8,10.0,2.2,15.94831619219837,0,1,0,0,0,0,1920,1080,0,0,8.0,4,0.0,1024.0,4.0,1,0
15.6,8,10.0,2.2,15.344811374937118,0,0,0,1,0,0,1920,1080,0,0,5.0,3,0.0,2048.0,0.0,0,0
15.6,8,10.0,2.02,15.84400887555375,0,0,0,1,0,0,1920,1080,0,0,8.0,4,128.0,1024.0,0.0,0,0
15.6,4,10.0,2.2,15.365784493820115,0,0,0,1,0,0,1920,1080,0,0,7.0,2,0.0,1024.0,2.0,1,0
17.3,8,10.0,2.5,15.97739404223499,0,0,0,1,0,0,1920,1080,0,0,6.0,3,128.0,1024.0,2.0,1,0
15.6,8,10.0,1.88,16.092475819933764,0,0,0,0,1,0,1920,1080,0,0,6.0,3,256.0,0.0,0.0,0,0
12.0,8,10.0,0.92,16.412772279370298,0,0,0,0,1,0,2304,1440,1,0,3.0,3,512.0,0.0,0.0,0,1
